address,bathrooms,bedrooms,build_up_m2,contract,date_posted,district,location,lot_size_m2,parcel_type,pool,property_type,price
Solo 35,0.0,0.0,0.0,sale,2022-04-13 11:58:12+00:00,Oranjestad Oost,Tarabana,1005.0,freehold,False,land,362022.13
Cadushi Largo 8 H,2.0,3.0,136.0,sale,2022-04-13 11:57:17+00:00,Santa Cruz,Cashero,742.0,leasehold,False,house,251423.4
Caya Bembe 9,1.0,1.0,0.0,rent,2022-04-11 12:29:23+00:00,Paradera,Ayo,0.0,,False,commercial,1306.7
Esmeralda 100,3.0,5.0,0.0,sale,2022-04-09 14:58:02+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,907.0,,False,house,935275.0
Cudawecha ,2.0,3.0,0.0,rent,2022-04-09 14:57:03+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,False,house,2514.9500000000003
Dominicanessenstraat 2,0.0,0.0,0.0,sale,2022-04-09 14:56:18+00:00,Oranjestad Oost,Sividivi,197.0,,False,commercial,401242.82
Calbas ,1.0,1.0,0.0,rent,2022-04-07 12:28:48+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,False,apartment,1005.98
Esmeralda 121 C,3.0,4.0,0.0,sale,2022-04-06 09:55:52+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,1969000.0
Palm Beach 1,1.0,1.0,0.0,rent,2022-04-01 13:07:48+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,apartment,2506.0
Bubali 2,1.0,2.0,0.0,rent,2022-04-01 13:07:42+00:00,Noord/Tanki Leendert,Washington,0.0,,False,apartment,1759.57
Palm Beach ,1.0,3.0,0.0,rent,2022-04-01 13:07:27+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,1005.98
Palm Beach 200,1.0,2.0,73.0,rent,2022-04-01 13:06:38+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,house,2488.1
Sabana Blanco 68,1.0,1.0,0.0,rent,2022-03-31 12:16:40+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,apartment,1231.52
Madiki 109 D,0.0,0.0,430.0,sale,2022-03-30 12:56:35+00:00,Oranjestad West,Madiki/Rancho,430.0,freehold,False,land,221244.0
Moco 201,3.0,3.0,0.0,sale,2022-03-30 12:53:20+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,False,house,850250.0
Alto Vista 56 T,1.0,1.0,32.0,rent,2022-03-29 13:15:22+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,False,apartment,905.74
Papaya 1,1.0,1.0,0.0,rent,2022-03-29 13:12:32+00:00,Paradera,Shiribana,0.0,,True,apartment,1381.88
J.E. Irausquin Boulevard 260,2.0,2.0,0.0,sale,2022-03-29 13:10:47+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,1700500.0
Ponton ,1.0,1.0,0.0,rent,2022-03-27 14:41:21+00:00,Oranjestad West,Ponton,0.0,,False,apartment,855.62
Palm Beach ,1.0,2.0,0.0,rent,2022-03-27 14:34:36+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,2237.5
Caya Papa Juan Pablo II (Rondweg) ,0.0,0.0,2.0,sale,2022-03-27 14:32:54+00:00,Oranjestad Oost,Dakota/Potrero,2.0,leasehold,False,commercial,1061863.8
Tanki Leendert ,3.0,3.0,213.0,sale,2022-03-27 14:10:32+00:00,Noord/Tanki Leendert,Tanki Leendert,864.0,leasehold,False,house,288220.43
J.E. Irausquin Boulevard 260,2.0,3.0,115.4,sale,2022-03-26 12:19:10+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,340.2,,True,house,1065050.0
Sabana Liber 51 D,2.0,3.0,180.0,rent,2022-03-24 14:08:31+00:00,Noord/Tanki Leendert,Alto Vista,1017.0,,False,house,2615.19
Matividiri 40 B,2.0,3.0,128.0,sale,2022-03-24 12:22:11+00:00,Paradera,Ayo,600.0,,True,house,349050.0
J.E. Irausquin Boulevard 260,2.0,3.0,115.4,sale,2022-03-24 12:19:27+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,340.2,,True,condominium,1065050.0
Balashi 14 A,2.0,3.0,161.0,sale,2022-03-24 12:19:02+00:00,Santa Cruz,Balashi/Barcadera,746.0,leasehold,False,house,402750.0
Bubali 3 X,4.0,5.0,0.0,sale,2022-03-23 12:48:48+00:00,Noord/Tanki Leendert,Washington,344.0,,False,house,680200.0
J.E. Irausquin Boulevard 238,4.0,4.0,275.0,sale,2022-03-23 12:47:40+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,2649200.0
Babijn  ,3.0,5.0,0.0,sale,2022-03-23 12:43:25+00:00,Paradera,Ayo,1436.0,freehold,False,house,707050.0
Caya di Sero 14,0.0,0.0,0.0,sale,2022-03-22 14:39:43+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,1295.0,,False,land,1430210.0
Topaz 72,4.0,3.0,268.0,sale,2022-03-22 13:32:52+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,598.0,leasehold,True,house,1696025.0
Catiri 14 B,1.0,3.0,1.0,rent,2022-03-21 13:03:49+00:00,Noord/Tanki Leendert,Tanki Leendert,1.0,,False,house,2148.0
Bubali ,1.0,2.0,0.0,rent,2022-03-21 13:01:40+00:00,Noord/Tanki Leendert,Washington,0.0,,False,apartment,1961.8400000000001
Santa Cruz 51,2.0,3.0,0.0,sale,2022-03-19 11:10:40+00:00,Santa Cruz,Papilon,635.0,,False,house,214800.0
Macuarima 144 H,2.0,3.0,120.0,sale,2022-03-18 16:02:59+00:00,Santa Cruz,Macuarima,721.0,leasehold,False,house,351914.0
Pos Chikito ,2.0,3.0,0.0,rent,2022-03-18 16:01:06+00:00,Savaneta,Pos Chikito,0.0,,True,house,6265.0
Ponton 90 E,1.0,1.0,50.0,rent,2022-03-17 13:02:46+00:00,Oranjestad West,Ponton,0.0,,False,house,1106.22
San Fuego 57,2.0,2.0,0.0,rent,2022-03-17 12:45:18+00:00,Santa Cruz,Urataca,0.0,,False,apartment,903.95
San Miguel ,2.0,3.0,0.0,sale,2022-03-17 12:42:07+00:00,Noord/Tanki Leendert,Washington,0.0,,True,house,850250.0
Ruby 41,6.0,5.0,320.0,sale,2022-03-17 12:39:42+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,591.0,,False,house,805500.0
Sabana Basora 14 F,2.0,3.0,0.0,rent,2022-03-16 14:29:25+00:00,Savaneta,Pos Chikito,0.0,,False,commercial,2148.0
Alto Vista 1,1.0,1.0,0.0,rent,2022-03-16 14:27:01+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,False,apartment,1761.3600000000001
Palm Beach 408,8.0,8.0,511.0,sale,2022-03-16 14:24:36+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,565.0,leasehold,True,apartment,2506000.0
Tanki Leendert 211,1.0,1.0,0.0,rent,2022-03-15 12:57:48+00:00,Noord/Tanki Leendert,Tanki Leendert,0.0,,False,house,1004.19
Panamastraat ,1.0,1.0,0.0,rent,2022-03-15 12:46:41+00:00,Oranjestad West,Socotoro/Rancho,0.0,,False,apartment,755.38
Margrietstraat 3,0.0,0.0,0.0,sale,2022-03-14 13:07:36+00:00,Oranjestad Oost,Klip/Mon Plaisir,0.0,,False,commercial,399170.0
Palm Beach 408,8.0,8.0,511.0,sale,2022-03-14 13:01:03+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,565.0,leasehold,True,apartment,2506000.0
Palm Beach 408,8.0,8.0,511.0,sale,2022-03-14 13:00:50+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,565.0,leasehold,True,apartment,2506000.0
Bubali 93 A,2.0,4.0,128.0,sale,2022-03-12 14:49:31+00:00,Noord/Tanki Leendert,Washington,530.0,leasehold,False,house,533420.0
Sabana Liber 89 Z,2.0,3.0,0.0,sale,2022-03-11 13:20:04+00:00,Noord/Tanki Leendert,Alto Vista,669.0,leasehold,False,house,653350.0
Ruby 55,8.0,9.0,436.0,sale,2022-03-11 13:17:27+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,1144.0,,False,commercial,2148000.0
Paraguana 8 J,2.0,3.0,0.0,rent,2022-03-09 12:13:18+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,True,house,7160.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-03-07 15:13:42+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,535210.0
Caya Jose Geerman 45,3.0,4.0,0.0,sale,2022-03-06 17:15:45+00:00,San Nicolas Noord,Rooi Congo,405.0,leasehold,False,house,376974.0
Montaña  ,4.0,4.0,279.0,sale,2022-03-05 18:39:29+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,486.0,,False,house,1960050.0
Caya Mesa Bista (Tierra del Sol) 40,5.0,5.0,400.0,sale,2022-03-05 18:39:29+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,688.0,,True,house,2416500.0
Sabana Blanco 1203,0.0,0.0,0.0,sale,2022-03-04 14:28:58+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,1203.0,,False,land,198690.0
Saliña Cerca 7 F,2.0,2.0,0.0,rent,2022-03-03 13:18:07+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,3445.75
Nijhoffstraat 136,2.0,3.0,108.0,sale,2022-03-02 12:41:13+00:00,San Nicolas Noord,Kustbatterij,741.0,leasehold,False,,235257.91
J.E. Irausquin Boulevard 266,2.0,2.0,0.0,sale,2022-03-01 22:51:55+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,936930.75
Paramira 7,5.0,5.0,152.0,sale,2022-03-01 22:48:00+00:00,Oranjestad West,Companashi/Solito,297.0,,False,apartment,383571.94
Washington 49 U,2.0,3.0,140.0,rent,2022-03-01 17:12:47+00:00,Noord/Tanki Leendert,Washington,735.0,,True,house,4564.5
Sabana Liber ,4.0,4.0,193.0,sale,2022-03-01 17:10:16+00:00,Noord/Tanki Leendert,Alto Vista,369.0,,False,house,536821.0
Rooi Santo ,2.0,2.0,77.0,sale,2022-03-01 17:10:02+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,730320.0
Jan Flemming 21,2.0,2.0,0.0,sale,2022-03-01 17:07:45+00:00,Santa Cruz,Macuarima,95.0,,False,house,316830.0
Rooi Santo ,2.0,2.0,75.0,sale,2022-02-27 10:03:52+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,687002.0
Diamante 195 D,2.0,3.0,195.0,sale,2022-02-26 19:27:52+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,129.0,,True,condominium,1029250.0
Rotterdamstraat 9,4.0,4.0,0.0,sale,2022-02-25 12:29:39+00:00,San Nicolas Noord,Rooi Congo,746.0,,False,house,366950.0
Tibushi 43 B,2.0,2.0,0.0,sale,2022-02-25 12:29:39+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,437.0,,False,house,626500.0
Paradera ,1.0,1.0,0.0,rent,2022-02-24 16:03:17+00:00,Paradera,Paradera,0.0,,False,apartment,1106.22
San Fuego 2,0.0,0.0,0.0,sale,2022-02-24 06:33:45+00:00,Santa Cruz,Urataca,926.0,freehold,False,land,162961.6
Rooi Santo 3 A,1.0,1.0,60.0,sale,2022-02-23 11:29:34+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,510150.0
San Barbola 276,3.0,4.0,422.0,sale,2022-02-23 11:29:13+00:00,Oranjestad Oost,Sero Blanco/Cumana,1452.0,,True,house,939750.0
J.E. Irausquin Boulevard 252,1.0,1.0,76.0,sale,2022-02-23 11:26:31+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,condominium,779724.0
Zeewijk 43,0.0,0.0,0.0,sale,2022-02-22 12:58:01+00:00,San Nicolas Zuid,Zeewijk,459.0,,False,land,507823.0
Wayaca 2,2.0,2.0,0.0,rent,2022-02-22 12:54:34+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,apartment,1809.69
Malmokweg 534 I,6.0,5.0,566.0,sale,2022-02-22 12:54:30+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,935.0,freehold,True,house,6802000.0
Tanki Leendert 131 R,5.0,5.0,243.0,sale,2022-02-22 12:51:43+00:00,Noord/Tanki Leendert,Tanki Leendert,744.0,,True,house,767910.0
Newtonstraat 15,0.0,0.0,0.0,sale,2022-02-21 15:18:04+00:00,Oranjestad Oost,Sividivi,5076.0,freehold,False,land,1809690.0
Sero Colorado 1578,5.0,5.0,0.0,rent,2022-02-21 15:17:24+00:00,San Nicolas Zuid,Sero Colorado,905446.0,,False,house,1163500.0
Montaña  ,2.0,2.0,95.0,sale,2022-02-21 15:16:32+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,freehold,True,condominium,939526.25
Palm Beach 1,1.0,1.0,0.0,rent,2022-02-21 15:13:27+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,apartment,1297.75
Caya di Oro (Tierra del Sol) 49,4.0,4.0,275.0,sale,2022-02-21 14:11:30+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,971.0,,False,house,2255400.0
Caya Bistalamar 27,3.0,4.0,161.0,sale,2022-02-21 14:11:26+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,647.0,,False,house,1244050.0
Balashi 55,0.0,0.0,0.0,sale,2022-02-19 12:10:05+00:00,Santa Cruz,Balashi/Barcadera,0.0,,False,,1910674.6400000001
J.E. Irausquin Boulevard 384 A,1.0,2.0,85.0,sale,2022-02-19 12:05:25+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,646637.5
Rooi Santo 31,2.0,2.0,0.0,sale,2022-02-19 12:05:25+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,house,493682.0
Cudi 59,2.0,3.0,0.0,rent,2022-02-18 13:28:24+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,,False,house,2262.56
Montaña  ,2.0,2.0,95.0,sale,2022-02-18 13:27:45+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,0.0,freehold,True,condominium,939526.25
Sabania Abou 8 J,2.0,3.0,167.0,sale,2022-02-18 13:26:09+00:00,Santa Cruz,Cashero,914.0,freehold,False,house,351967.7
Bubali 2,1.0,2.0,0.0,rent,2022-02-18 13:24:09+00:00,Noord/Tanki Leendert,Washington,0.0,,False,house,2287.62
Diamante ,3.0,3.0,158.0,sale,2022-02-18 13:21:52+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,158.0,,True,condominium,893210.0
Papilon 3,2.0,3.0,207.0,sale,2022-02-15 15:27:53+00:00,Santa Cruz,Papilon,400.0,,False,house,291628.59
Papaya ,1.0,2.0,0.0,rent,2022-02-15 11:24:44+00:00,Paradera,Shiribana,0.0,,True,apartment,1790.0
Paramira 84,2.0,4.0,0.0,sale,2022-02-14 12:39:39+00:00,Oranjestad West,Companashi/Solito,316.0,,False,house,313250.0
Palm Beach 226,1.0,3.0,113.0,rent,2022-02-12 07:59:08+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,601.0,,False,house,1759.57
Sabana Blanco 68,0.0,5.0,0.0,rent,2022-02-11 14:54:07+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,commercial,6265.0
Bubali 115 M,1.0,1.0,0.0,rent,2022-02-11 14:53:56+00:00,Noord/Tanki Leendert,Washington,0.0,,False,house,1432.0
Opal 66,4.0,4.0,0.0,rent,2022-02-11 14:53:56+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,6265.0
Opal 5,1.0,2.0,0.0,rent,2022-02-11 14:53:56+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,2506.0
Primavera 7,2.0,3.0,0.0,rent,2022-02-11 14:53:56+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,house,2212.44
Sabana Blanco 68,2.0,2.0,0.0,rent,2022-02-11 14:53:56+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,commercial,3580.0
Alto Vista 106,1.0,1.0,0.0,rent,2022-02-11 14:53:53+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,False,apartment,905.74
Sero Colorado 365,1.0,1.0,0.0,rent,2022-02-11 14:53:53+00:00,San Nicolas Zuid,Sero Colorado,0.0,,False,apartment,703.47
Bubali 115 M,2.0,2.0,0.0,rent,2022-02-11 14:53:51+00:00,Noord/Tanki Leendert,Washington,0.0,,False,condominium,5012.0
Nieuwstraat 62,1.0,1.0,0.0,rent,2022-02-11 14:53:51+00:00,Oranjestad Oost,Nassaustraat,0.0,,False,commercial,1790.0
Diamante 246,3.0,3.0,0.0,rent,2022-02-11 14:53:51+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,False,house,6265.0
Diamante 246,2.5,4.0,0.0,rent,2022-02-11 14:53:51+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,False,house,4833.0
Calbas 28 A,2.0,3.0,0.0,rent,2022-02-11 14:53:50+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,False,commercial,2864.0
J.E. Irausquin Boulevard 244,0.0,0.0,0.0,rent,2022-02-11 14:53:50+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,commercial,1256.58
J.E. Irausquin Boulevard 244,2.0,2.0,0.0,rent,2022-02-11 14:53:50+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,condominium,3580.0
Sabana Blanco 68,1.0,1.0,0.0,rent,2022-02-11 14:53:50+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,0.0,,False,commercial,1508.97
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:37+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,117.0,freehold,False,condominium,892852.0
Palm Beach  ,2.0,3.0,0.0,sale,2022-02-11 14:53:37+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,617550.0
Kamay 20 F,0.0,0.0,0.0,sale,2022-02-11 14:53:36+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,commercial,585330.0
Bakval 17 D,4.0,4.0,0.0,sale,2022-02-11 14:53:35+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,1960050.0
J.E. Irausquin Boulevard 246,3.0,3.0,0.0,sale,2022-02-11 14:53:35+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,215.0,,False,house,517310.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:34+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,70.0,,False,commercial,680200.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:34+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,96.0,freehold,False,condominium,713852.0
Palm Beach 220,1.0,2.0,0.0,sale,2022-02-11 14:53:34+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,85.0,,False,commercial,950937.5
Palm Beach 220,1.0,1.0,0.0,sale,2022-02-11 14:53:33+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,67.0,freehold,False,condominium,493682.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:33+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,109.0,freehold,False,condominium,753232.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:33+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,76.0,,False,condominium,569220.0
Kamay 20 F,2.0,2.0,0.0,sale,2022-02-11 14:53:33+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,condominium,875757.5
Ponton 42,1.0,2.0,0.0,sale,2022-02-11 14:53:33+00:00,Oranjestad West,Ponton,72.0,,False,apartment,340100.0
Sabana Blanco 68,1.0,0.0,0.0,sale,2022-02-11 14:53:33+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,37.0,,False,house,396395.5
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:32+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,78.0,,False,commercial,593170.2000000001
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:31+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,112.0,freehold,False,condominium,792612.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:31+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,220.0,freehold,False,condominium,1680452.0
J.E. Irausquin Boulevard 246,1.0,1.0,0.0,sale,2022-02-11 14:53:30+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,80.0,,False,house,713852.0
Bakval 17 D,2.0,2.0,0.0,sale,2022-02-11 14:53:30+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,90.0,freehold,False,condominium,1039632.0
Kamay 20 F,1.0,2.0,0.0,sale,2022-02-11 14:53:29+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,False,house,617550.0
J.E. Irausquin Boulevard 246,2.5,3.0,0.0,sale,2022-02-11 14:53:28+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,176.0,,False,house,1596680.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:27+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,113.0,,False,condominium,660152.0
J.E. Irausquin Boulevard 246,2.0,2.0,0.0,sale,2022-02-11 14:53:27+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,condominium,937960.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:26+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,106.0,freehold,False,condominium,731752.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:26+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,69.0,,False,condominium,685570.0
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:26+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,69.0,,False,condominium,750869.2000000001
Palm Beach 220,2.0,2.0,0.0,sale,2022-02-11 14:53:26+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,117.0,freehold,False,condominium,869582.0
J.E. Irausquin Boulevard 246,2.0,2.0,0.0,sale,2022-02-11 14:53:26+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,145.0,,False,house,1518979.68
Palm Beach 220,3.0,3.0,0.0,sale,2022-02-11 14:53:25+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,115.0,freehold,False,condominium,796192.0
Palm Beach 220,0.0,0.0,0.0,sale,2022-02-11 14:53:07+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,leasehold,False,house,1306700.0
Paradera  ,0.0,0.0,0.0,sale,2022-02-11 14:31:44+00:00,Paradera,Paradera,0.0,freehold,False,land,161995.0
Palm Beach 4 P,1.0,1.0,76.0,sale,2022-02-11 12:35:40+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,528050.0
Danza 14,2.0,3.0,0.0,sale,2022-02-11 12:30:21+00:00,Oranjestad West,Pos Abou/Cunucu Abou,498.0,,False,house,481510.0
Palm Beach  ,5.0,4.0,0.0,sale,2022-02-11 12:30:21+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,704365.0
Palm Beach 220,6.0,7.0,0.0,sale,2022-02-11 12:30:21+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,673.0,,False,commercial,839510.0
Tanki Flip 50 A,3.0,4.0,0.0,sale,2022-02-11 12:30:20+00:00,Noord/Tanki Leendert,Moco/Tanki Flip,220.0,freehold,False,house,644400.0
Esmeralda 100,4.0,8.0,0.0,sale,2022-02-11 12:30:20+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,859200.0
San Fuego 57,2.0,3.0,0.0,sale,2022-02-11 12:30:20+00:00,Santa Cruz,Urataca,0.0,,False,commercial,583258.97
Palm Beach 200,2.0,2.0,0.0,sale,2022-02-11 12:30:20+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,840047.0
Jan Flemming 29,2.0,3.0,0.0,sale,2022-02-11 12:30:19+00:00,Santa Cruz,Macuarima,588.0,,False,house,313250.0
Esmeralda 105 A,2.0,3.0,0.0,sale,2022-02-11 12:30:19+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,1163500.0
Esmeralda 105 A,5.5,5.0,0.0,sale,2022-02-11 12:30:17+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,8950000.0
L.G Smith Boulevard 135,5.0,4.0,0.0,sale,2022-02-11 12:30:16+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,3311500.0
Sabana Blanco 68,6.0,5.0,0.0,sale,2022-02-11 12:30:16+00:00,Oranjestad Oost,Sabana Blanco/Mahuma,1215.0,,False,commercial,1072210.0
Kamay 20 F,2.5,3.0,0.0,sale,2022-02-11 12:30:16+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,201.0,,False,house,1182653.0
Ponton 42,3.0,3.0,0.0,sale,2022-02-11 12:30:15+00:00,Oranjestad West,Ponton,0.0,,False,house,497781.10000000003
Esmeralda 105 A,4.0,4.0,0.0,sale,2022-02-11 12:30:15+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,1718400.0
Diamante 246,3.0,3.0,0.0,sale,2022-02-11 12:30:15+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,False,house,1056100.0
Palm Beach  ,2.0,2.0,0.0,sale,2022-02-11 12:30:14+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,house,1410520.0
Palm Beach 4 P,1.0,2.0,76.0,sale,2022-02-10 13:10:38+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,528050.0
Palm Beach ,2.0,2.0,0.0,sale,2022-02-10 13:10:15+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,796550.0
San Miguel ,4.0,5.0,334.0,sale,2022-02-10 13:10:02+00:00,Noord/Tanki Leendert,Washington,887.0,,False,house,1009560.0
Tanki Leendert 4 E,1.0,0.0,0.0,rent,2022-02-09 15:53:53+00:00,Noord/Tanki Leendert,Tanki Leendert,0.0,,False,house,716.0
Sabana Liber 1,1.0,1.0,0.0,rent,2022-02-09 15:50:10+00:00,Noord/Tanki Leendert,Alto Vista,0.0,,False,apartment,1258.3700000000001
Diamante ,3.0,3.0,158.0,sale,2022-02-09 15:45:53+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,158.0,,True,condominium,805500.0
Rooi Santo ,2.0,2.0,75.0,sale,2022-02-09 06:51:12+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,662300.0
Rooi Santo ,2.0,2.0,76.0,sale,2022-02-09 06:51:08+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,676620.0
Rooi Santo ,2.0,2.0,75.0,sale,2022-02-09 06:51:06+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,freehold,True,condominium,676620.0
Zeewijk ,1.0,1.0,0.0,rent,2022-02-08 14:41:25+00:00,San Nicolas Zuid,Zeewijk,0.0,,False,apartment,805.5
Westpunt 36 J,3.0,3.0,185.0,sale,2022-02-08 14:35:18+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,600.0,,True,house,1056100.0
Weg Fontein 49 B,0.0,0.0,0.0,sale,2022-02-08 14:32:50+00:00,San Nicolas Noord,Standard Ville/Rooi Hundo,444.0,freehold,False,land,89500.0
