address,bathrooms,bedrooms,build_up_m2,contract,date_posted,district,location,lot_size_m2,parcel_type,pool,property_type,price
Caya Dr. J.E.M. (Loy) Arends 1,2.5,2.0,136.0,sale,2020-12-16 12:00:19+00:00,Oranjestad West,Eagle/Paardenbaai,0.0,,True,house,606810.0
Noord ,0.0,0.0,0.0,sale,2020-12-16 12:00:19+00:00,Noord/Tanki Leendert,Washington,0.0,leasehold,False,commercial,753590.0
Palm Beach ,0.0,0.0,0.0,sale,2020-12-16 12:00:19+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,False,commercial,232700.0
Catalina 156,2.0,2.0,0.0,sale,2020-12-16 12:00:18+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,150.0,,True,condominium,1235100.0
J.E. Irausquin Boulevard 226,1.0,1.0,0.0,sale,2020-12-16 12:00:17+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,56.0,,False,condominium,934380.0
Noord ,3.0,5.0,217.0,sale,2020-12-16 12:00:16+00:00,Noord/Tanki Leendert,Washington,629.0,,True,house,689128.52
J.E. Irausquin Boulevard 268,1.0,1.0,60.0,sale,2020-12-16 12:00:16+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,625605.0
J.E. Irausquin Boulevard 232 A,2.5,2.0,136.0,sale,2020-12-16 12:00:16+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,608578.52
J.E. Irausquin Boulevard 232 A,2.5,2.0,136.0,sale,2020-12-16 12:00:16+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,608578.52
Dr. Horacio Oduber Boulevard 2,2.5,2.0,145.0,sale,2020-12-16 12:00:16+00:00,Oranjestad West,Eagle/Paardenbaai,0.0,,True,condominium,823400.0
J.E. Irausquin Boulevard 232 B,2.0,2.0,0.0,sale,2020-12-16 12:00:16+00:00,Noord/Tanki Leendert,Palm Beach/Malmok,0.0,,True,condominium,635428.52
